Série,Preço de Exercício,Quantidade em Aberto,Quantidade em Aberto,Quantidade em Aberto,Quantidade em Aberto,Nº de Clientes,Nº de Clientes
Série,Preço de Exercício,Coberto,Trava,Descoberto,Total,Titular,Lançador
BBASH130,1242,20.700,0,40.900,61.600,3.0,10.0
BBASH139,6842,0,4.500,6.700,11.200,4.0,2.0
BBASH157,1517,0,5.600,89.700,95.300,1.0,7.0
BBASH16,1667,2.600,0,14.200,16.800,2.0,6.0
BBASH162,1567,2.100,5.700,5.900,13.700,2.0,2.0
BBASH167,1617,14.400,0,67.800,82.200,2.0,11.0
BBASH177,1717,1.600,500,66.600,68.700,2.0,10.0
BBASH193,1880,11.500,800,23.400,35.700,2.0,9.0
BBASH198,1980,4.200,0,32.400,36.600,4.0,12.0
BBASH206,2005,5.100,1.600,149.400,156.100,5.0,20.0
BBASH211,2055,10.700,0,30.000,40.700,4.0,7.0
BBASH335,3292,0,26.100,0,26.100,4.0,1.0
BBASH340,3342,0,5.000,0,5.000,2.0,1.0
BBASH345,3392,0,1.000,0,1.000,1.0,1.0
BBASH350,3442,0,13.500,0,13.500,1.0,1.0
BBASH365,1767,3.600,0,5.000,8.600,2.0,8.0
BBASH395,1917,6.400,2.100,71.400,79.900,4.0,21.0
BBASH397,1930,95.000,0,49.800,144.800,4.0,10.0
BBASH403,1855,11.800,11.000,195.900,218.700,4.0,19.0
BBASH427,2080,16.900,1.000,73.100,91.000,4.0,17.0
BBASH443,2105,443.700,10.200,172.900,626.800,5.0,17.0
BBASH448,2130,3.600,0,179.600,183.200,4.0,19.0
BBASH450,1842,30.500,7.300,107.300,145.100,12.0,37.0
BBASH451,2142,11.700,1.000,38.200,50.900,3.0,6.0
BBASH453,2155,23.600,500,6.600,30.700,4.0,5.0
BBASH456,2167,1.200,0,2.800,4.000,3.0,3.0
BBASH458,2180,300,0,20.400,20.700,2.0,4.0
BBASH461,2192,1.800,16.000,11.500,29.300,3.0,6.0
BBASH463,2205,0,21.200,1.800,23.000,2.0,8.0
BBASH466,2217,200,0,2.000.000,2.000.200,5.0,2.0
BBASH468,2230,5.300,1.400,17.500,24.200,4.0,15.0
BBASH471,2242,0,200,9.800,10.000,4.0,4.0
BBASH473,2255,400,77.600,44.900,122.900,3.0,11.0
BBASH476,2267,2.000,2.400,48.500,52.900,4.0,7.0
BBASH478,2280,21.300,4.100,10.800,36.200,4.0,9.0
BBASH481,2292,2.000,2.500,4.900,9.400,2.0,7.0
BBASH483,2305,3.800,200,10.900,14.900,5.0,11.0
BBASH486,2317,0,4.000,0,4.000,1.0,2.0
BBASH488,2330,7.300,2.300,50.600,60.200,5.0,17.0
BBASH491,2342,8.200,14.300,22.500,45.000,5.0,12.0
BBASH493,2355,18.900,2.500,20.200,41.600,5.0,11.0
BBASH496,2367,500,0,19.900,20.400,3.0,6.0
BBASH498,2380,21.500,5.400,45.500,72.400,5.0,14.0
BBASH501,2392,37.200,10.200,43.200,90.600,6.0,26.0
BBASH506,2417,20.500,2.900,100.500,123.900,8.0,26.0
BBASH511,2442,3.900,13.100,8.400,25.400,5.0,12.0
BBASH516,2467,1.800,26.500,38.700,67.000,5.0,16.0
BBASH521,2492,16.100,11.900,52.000,80.000,7.0,32.0
BBASH531,2542,38.700,84.200,48.000,170.900,16.0,56.0
BBASH536,2567,92.600,17.000,217.500,327.100,10.0,50.0
BBASH54,2517,10.500,51.100,146.500,208.100,13.0,54.0
BBASH541,2592,85.100,215.100,322.900,623.100,29.0,61.0
BBASH546,2617,53.300,93.700,395.400,542.400,26.0,90.0
BBASH551,2642,44.600,605.100,331.000,980.700,52.0,129.0
BBASH556,2667,197.100,396.600,347.000,940.700,34.0,136.0
BBASH561,2692,82.100,513.600,295.800,891.500,187.0,208.0
BBASH566,2717,296.300,273.500,635.700,1.205.500,127.0,413.0
BBASH571,2742,381.000,1.368.100,738.800,2.487.900,162.0,420.0
BBASH576,2767,278.800,683.100,10.431.000,11.392.900,89.0,422.0
BBASH581,2792,431.700,130.200,929.900,1.491.800,130.0,443.0
BBASH586,2817,597.000,275.000,460.500,1.332.500,65.0,495.0
BBASH591,2842,283.400,296.500,294.600,874.500,74.0,343.0
BBASH596,2867,268.600,107.400,431.100,807.100,44.0,249.0
BBASH601,2892,148.400,234.600,486.700,869.700,37.0,157.0
BBASH606,2917,74.400,360.100,148.300,582.800,37.0,88.0
BBASH611,2942,59.500,337.900,137.000,534.400,31.0,34.0
BBASH616,2967,37.000,87.000,73.600,197.600,22.0,29.0
BBASH621,2992,7.100,270.600,89.100,366.800,25.0,10.0
BBASH626,3017,20.000,48.300,30.300,98.600,19.0,19.0
BBASH631,3042,8.700,112.900,600,122.200,22.0,8.0
BBASH636,3067,5.200,64.700,5.300,75.200,4.0,4.0
BBASH641,3092,200,152.700,300,153.200,13.0,7.0
BBASH646,3117,900.000,0,0,900.000,8.0,1.0
BBASH651,3142,0,14.400,100,14.500,4.0,2.0
BBASH656,3167,200,6.200,0,6.400,3.0,2.0
BBASH661,3192,0,31.200,100,31.300,7.0,2.0
BBASH666,3217,0,3.000,3.200,6.200,5.0,3.0
Total,Total,5.295.400,7.149.900,21.012.400,33.457.700,1.476,4.455
